id,genres,imdbRating,weighting
5bc6865615307d543319bb77,Comedy*Crime*Horror,7.1,27.1
5bc6865615307d543319bb78,Comedy*Drama*Romance,6,38.0
5bc6865615307d543319bb79,Comedy*Crime*Drama,7,39.0
5bc6865615307d543319bb7a,Crime*Drama*Mystery,7.4,30.4
5bc6865615307d543319bb7b,Adventure*Drama*History,7.6,29.6
5bc6865615307d543319bb7c,Adventure*Biography*History,6.9,14.9
5bc6865715307d543319bb7d,Horror,6.4,10.4
5bc6865715307d543319bb7e,Action*Adventure*Fantasy,5.4,16.4
5bc6865715307d543319bb7f,Comedy*Drama,6.7,33.7
5bc6865715307d543319bb80,Drama,7.8,23.8
5bc6865715307d543319bb81,Action*Drama,6.6,27.6
5bc6865815307d543319bb82,Comedy,6.7,17.7
5bc6865815307d543319bb83,Comedy,5.9,16.9
5bc6865815307d543319bb84,Comedy*Family*Fantasy,6.1,21.1
5bc6865815307d543319bb85,Drama,6.9,22.9
5bc6865815307d543319bb86,Crime*Drama*Mystery,6.9,29.9
5bc6865915307d543319bb87,Action*Adventure*Mystery,5.1,16.1
5bc6865915307d543319bb88,Action*Drama*Thriller,7.3,33.3
5bc6865915307d543319bb89,Documentary*Biography*Comedy,8,25.0
5bc6865915307d543319bb8a,Action*Thriller,7.2,17.2
5bc6865a15307d543319bb8b,Crime*Drama*Mystery,6.7,29.7
5bc6865a15307d543319bb8c,Action*Adventure*Thriller,7.6,21.6
5bc6865a15307d543319bb8d,Action*Comedy*Crime,6,27.0
5bc6865a15307d543319bb8e,Crime*Drama*Mystery,6.4,29.4
5bc6865a15307d543319bb8f,Action*Adventure*Romance,5.9,19.9
5bc6865b15307d543319bb90,Adventure*Drama*Family,4.9,26.9
5bc6865b15307d543319bb91,Comedy*Horror,3.4,18.4
5bc6865b15307d543319bb92,Comedy*Crime*Drama,6.2,38.2
5bc6865b15307d543319bb93,Comedy*Drama,6.7,33.7
5bc6865b15307d543319bb94,Action*Crime*Sci-Fi,5.6,17.6
5bc6865c15307d543319bb95,Action*Crime*Sci-Fi,5.5,17.5
5bc6865c15307d543319bb96,Action*Crime*Mystery,6.8,18.8
5bc6865c15307d543319bb97,Comedy,4.1,15.1
5bc6865c15307d543319bb98,Drama,7,23.0
5bc6865c15307d543319bb99,Comedy*Drama,7.5,34.5
5bc6865d15307d543319bb9a,Horror*Mystery*Thriller,6.1,17.1
5bc6865d15307d543319bb9b,Horror*Thriller,3.5,12.5
5bc6865d15307d543319bb9c,Drama*Romance,6,27.0
5bc6865d15307d543319bb9d,Drama*Romance,5.3,26.3
5bc6865d15307d543319bb9e,Comedy*Romance,7.2,23.2
5bc6865e15307d543319bb9f,Action*Adventure*Family,5.1,16.1
5bc6865e15307d543319bba0,Comedy*Drama*Romance,5.8,37.8
5bc6865e15307d543319bba1,Horror*Thriller,6.8,15.8
5bc6865e15307d543319bba2,Drama*Horror,6,26.0
5bc6865f15307d543319bba3,Action*Crime*Drama,5.9,31.9
5bc6865f15307d543319bba4,Animation*Short*Thriller,7.3,16.3
5bc6865f15307d543319bba5,Comedy*Romance,5.5,21.5
5bc6865f15307d543319bba6,Comedy,6.6,17.6
5bc6865f15307d543319bba7,Biography*Drama*Thriller,7.7,30.7
5bc6865f15307d543319bba8,Action*Crime*Drama*Fantasy*Horror*Mystery*Thriller,6.5,45.5
5bc6866015307d543319bba9,Crime*Drama,7.2,28.2
5bc6866015307d543319bbaa,Action*Crime*Thriller,6.5,21.5
